timestamp,Temp,Date
20210421T0200,4.1896353,4/21/2021
20210421T0300,4.879635,4/21/2021
20210421T0400,5.449635,4/21/2021
20210421T0500,5.699635,4/21/2021
20210421T0600,5.659635,4/21/2021
20210421T0700,5.629635,4/21/2021
20210421T0800,8.099635,4/21/2021
20210421T0900,10.649635,4/21/2021
20210421T1000,11.849635,4/21/2021
20210421T1100,13.119635,4/21/2021
20210421T1200,14.439635,4/21/2021
20210421T1300,15.499635,4/21/2021
20210421T1400,16.239635,4/21/2021
20210421T1500,16.529636,4/21/2021
20210421T1600,16.269636,4/21/2021
20210421T1700,15.359635,4/21/2021
20210421T1800,13.809635,4/21/2021
20210421T1900,13.869635,4/21/2021
20210421T2000,13.449635,4/21/2021
20210421T2100,13.219635,4/21/2021
20210421T2200,12.699635,4/21/2021
20210421T2300,11.049635,4/21/2021
20210422T0000,8.959635,4/22/2021
20210422T0100,8.219635,4/22/2021
20210422T0200,7.479635,4/22/2021
20210422T0300,7.439635,4/22/2021
20210422T0400,8.129635,4/22/2021
20210422T0500,8.719635,4/22/2021
20210422T0600,9.129635,4/22/2021
20210422T0700,9.279635,4/22/2021
20210422T0800,11.479635,4/22/2021
20210422T0900,14.329635,4/22/2021
20210422T1000,15.999635,4/22/2021
20210422T1100,16.479635,4/22/2021
20210422T1200,16.289635,4/22/2021
20210422T1300,16.249636,4/22/2021
20210422T1400,16.549635,4/22/2021
20210422T1500,16.859636,4/22/2021
20210422T1600,17.029636,4/22/2021
20210422T1700,16.589636,4/22/2021
20210422T1800,15.579635,4/22/2021
20210422T1900,15.729635,4/22/2021
20210422T2000,15.369635,4/22/2021
20210422T2100,14.559635,4/22/2021
20210422T2200,14.019635,4/22/2021
20210422T2300,13.039635,4/22/2021
