timestamp,Temp,Date
20210421T0200,27.4429,4/21/2021
20210421T0300,26.8729,4/21/2021
20210421T0400,26.5929,4/21/2021
20210421T0500,26.3829,4/21/2021
20210421T0600,26.6629,4/21/2021
20210421T0700,28.9029,4/21/2021
20210421T0800,31.2329,4/21/2021
20210421T0900,33.5429,4/21/2021
20210421T1000,35.4529,4/21/2021
20210421T1100,36.9129,4/21/2021
20210421T1200,37.7529,4/21/2021
20210421T1300,38.2629,4/21/2021
20210421T1400,38.6629,4/21/2021
20210421T1500,38.8029,4/21/2021
20210421T1600,38.5429,4/21/2021
20210421T1700,37.9629,4/21/2021
20210421T1800,36.5129,4/21/2021
20210421T1900,35.5129,4/21/2021
20210421T2000,34.5829,4/21/2021
20210421T2100,33.5129,4/21/2021
20210421T2200,32.3129,4/21/2021
20210421T2300,30.8229,4/21/2021
20210422T0000,29.6829,4/22/2021
20210422T0100,28.9229,4/22/2021
20210422T0200,28.2229,4/22/2021
20210422T0300,27.582901,4/22/2021
20210422T0400,27.3629,4/22/2021
20210422T0500,27.0129,4/22/2021
20210422T0600,26.8929,4/22/2021
20210422T0700,28.0429,4/22/2021
20210422T0800,30.082901,4/22/2021
20210422T0900,32.6929,4/22/2021
20210422T1000,35.1029,4/22/2021
20210422T1100,36.3029,4/22/2021
20210422T1200,35.9729,4/22/2021
20210422T1300,35.5229,4/22/2021
20210422T1400,35.1329,4/22/2021
20210422T1500,35.2629,4/22/2021
20210422T1600,35.1429,4/22/2021
20210422T1700,35.0329,4/22/2021
20210422T1800,34.2229,4/22/2021
20210422T1900,33.4329,4/22/2021
20210422T2000,32.7829,4/22/2021
20210422T2100,32.1529,4/22/2021
20210422T2200,31.4929,4/22/2021
20210422T2300,30.6529,4/22/2021
